oX	pcsl	cdli
o0900849	GIR~d	GIR~d
o0900855	GIR₂~a	GIR2~a
o0900856	GIR₂~b	GIR2~b
o0900858	GIR₃~a	GIR3~a
o0900864	|GIR₃~a×ŠE~b|	|GIR3~axSZE~b|
o0900859	GIR₃~b	GIR3~b
o0900860	GIR₃~c	GIR3~c
o0900862	|GIR₃~c×KAR₂~b|	|GIR3~cxKAR2|
o0900866	|GIR₃~c×ŠE₃~v1|	|GIR3~cxSZE3|
o0900869	GIR₃@g~a	GIR3@g~a
o0900870	GIR₃@g~b	GIR3@g~b
o0900871	GIR₃@g~c	GIR3@g~c
o0900867	GIR₄	GIR4
o0900873	GISAL~a	GISAL~a
o0900874	GISAL~b	GISAL~b
o0900875	GIŠ	GISZ
o0900877	|GIŠ.TE|	|GISZ.TE|
o0900879	|(GIŠ×(DIN.DIN))~a|	|(GISZx(DIN.DIN))~a|
o0900880	|(GIŠ×(DIN.DIN))~b|	|(GISZx(DIN.DIN))~b|
o0900881	|(GIŠ×(DIN.DIN))~c|	|(GISZx(DIN.DIN))~c|
o0900883	|GIŠ×ŠU₂~a|	|GISZxSZU2~a|
o0900884	|GIŠ×ŠU₂~b|	|GISZxSZU2~b|
o0900885	GIŠ@t	GISZ@t
o0900887	|GIŠ@t.E₂~a|	|GISZ@t.E2~a|
o0900876	GIŠ~v	GISZ~x
o0900889	GIŠ₃~a	GISZ3~a
o0900892	|GIŠ₃~a&GIŠ₃~a|	|GISZ3~a&GISZ3~a|
o0900890	GIŠ₃~b	GISZ3~b
o0900893	GIŠGAL	GISZGAL
o0900894	GIŠGAL~v1	GISZGAL
o0900896	GIŠIMMAR~a1	GISZIMMAR~a1
o0900897	GIŠIMMAR~a2	GISZIMMAR~a2
o0900898	GIŠIMMAR~a3	GISZIMMAR~a3
o0900899	GIŠIMMAR~b1	GISZIMMAR~b1
o0900900	GIŠIMMAR~b1~v1	GISZIMMAR~b1
o0900901	GIŠIMMAR~b1~v2	GISZIMMAR~b1
o0900903	GIŠIMMAR~b3	GISZIMMAR~b3
o0900905	GIZZAL~v	GIZZAL~x
o0900906	GU	GU
o0900907	GU₂	GU2
o0900908	GU₄	GU4
o0900911	|GU₄.ZATU755~b|	|GU4.ZATU755~a|
o0900914	GU₄@g	GU4@g
o0900909	GU₄~v1	GU4
o0900912	GU₇	GU7
o0900913	GU₇~v1	GU7
o0900916	GUB₃~a	GUB3~a
o0900917	GUB₃~b	GUB3~b
o0900918	GUB₃~c	GUB3~c
o0900919	GUB₃~d	GUB3~d
o0900920	GUG₂	GUG2
o0900927	GUG₂@t	GUG2@t
o0900921	GUG₂~v1	GUG2
o0900923	|GUG₂~v1×SILA₃~a|	|GUG2xSILA3~a|
o0900925	|GUG₂~v1×ŠITA~a1|	|GUG2xSZITA~a1|
o0900926	|GUG₂~v1×TUR~v1|	|GUG2xTUR|
o0900929	GUKKAL~a	GUKKAL~a
o0900934	|GUKKAL~a.HI@g~a|	|GUKKAL~a.HI@g~a|
o0900930	GUKKAL~b	GUKKAL~b
o0900931	GUKKAL~c	GUKKAL~c
o0900932	GUKKAL~d	GUKKAL~d
o0900935	GUL	GUL
o0900937	GUM~a	GUM~a
o0900938	GUM~b	GUM~b
o0900941	GUM~b@n	GUM~b@n
o0900942	GUM~b@n~v1	GUM~b@n
o0900939	GUM~b~v1	GUM~b
o0900944	GUN₃~a	GUN3~a
o0900945	GUN₃~b	GUN3~b
o0900946	GUR	GUR
o0900948	GURUŠ~a	GURUSZ~a
o0900952	|GURUŠ~a×2(N14)|	|GURUSZ~ax2(N14)|
o0900949	GURUŠ~a~v1	GURUSZ~a
o0900950	GURUŠ~b	GURUSZ~b
o0900953	|GURUŠ~b×2(N14)|	|GURUSZ~bx2(N14)|
o0900954	|GURUŠ~c×2(N14)|	|GURUSZ~cx2(N14)|
o0900955	GURUŠDA	GURUSZDA
o0900956	HAL	HAL
o0900957	HALUB	HALUB
o0900958	HAŠHUR	HASZHUR
o0900959	|HAŠHUR×MA|	|HASZHURxMA|
o0900960	HI	HI
o0900962	|HI.SUHUR|	|HI.SUHUR|
o0900963	|HI.SUHUR~v1|	|HI.SUHUR|
o0900964	|HI.SUHUR~v2|	|HI.SUHUR|
o0900966	|HI×LAGAB~a|	|HIxLAGAB~a|
oX	|HI×ŠE₃~v1@t|	|HIxSZE3@t|
o0900974	|HI×ZATU707~a|	|HIxZATU707~a|
o0900967	|HI×1(N01@f)|	|HIx1(N01)F|
o0900968	|HI×1(N57)|	|HIx1(N57)|
o0900969	|(HI×1(N57)).(HI×1(N57))|	|(HIx1(N57))&(HI+1(N57))|
o0900970	|HI×1(N57@t)|	|HIx1(N57)@t|
o0900971	|HI×1(N58)|	|HIx1(N58)|
o0900976	HI@g~a	HI@g~a
o0900977	HI@g~b	HI@g~b
o0900978	HI@g~c	HI@g~c
o0900979	HUB₂	HUB2
o0900981	I	I
o0900983	IB~a	IB~a
o0900987	IB~a@n	IB~a@n
o0900984	IB~b	IB~b
o0900988	IDIGNA	IDIGNA
o0900989	IDIGNA~v1	IDIGNA
o0900991	IG~a	IG~a
o0900992	IG~b	IG~b
o0900993	IGI	IGI
o0900995	IL	IL
o0900997	ILDUM~a	ILDUM~a
o0900998	ILDUM~b	ILDUM~b
o0901000	IM~a	IM~a
o0901003	IM~a@g	IM~a@g
o0901001	IM~b	IM~b
o0901005	IN~b	IN~b
o0901006	IN~b~v1	IN~b
o0901007	IN~d	IN~d
o0901009	IR~a	IR~a
o0901014	|IR~a.GA₂~a1|	|IR~a.GA2~a1|
o0901010	IR~b	IR~b
o0901011	IR~c	IR~c
o0901012	IR~d	IR~d
o0901016	IR₁₁	IR11
o0901017	IR₁₁~v1	IR11
o0901018	IRHAN	IRHAN
o0901020	IŠ~a	ISZ~a
o0901021	IŠ~a~v1	ISZ~a
o0901022	IŠ~b	ISZ~b
o0901023	IŠ~b~v1	ISZ~b
o0901024	IŠ~b~v2	ISZ~b
o0901025	IŠ~b~v3	ISZ~b
o0901026	IŠ~b~v4	ISZ~b
o0901027	IŠ~b~v5	ISZ~b
o0901028	IŠ~c	ISZ~c
o0901030	KA~a	KA~a
o0901036	|KA~a×SAR~a|	|KA~axSAR~a|
o0901033	|KA~a~v1.ŠE~a|	|KA~a.SZE~a|
o0901032	|KA~a~v2.ŠE~a@t|	|KA~a.SZE~a|
o0901038	KA₂~a	KA2~a
o0901039	KA₂~b	KA2~b
o0901040	KA₂~c	KA2~c
o0901041	KA₂~d	KA2~d
o0901043	|KA₂~d×LAM~b~v2|	|KA2xLAM|
o0901044	KAB	KAB
o0901045	|KAB×1(N58)|	|KABx1(N58)|
o0901047	KAD₄~a	KAD4~a
o0901048	KAD₄~b	KAD4~b
o0901049	KAD₄~c1	KAD4~c1
o0901050	KAD₄~c2	KAD4~c2
o0901052	KAK~a	KAK~a
o0901055	|KAK~a.GA₂~a1|	|KAK~a.GA2~a1|
o0901053	KAK~b	KAK~b
o0901057	KAL~a	KAL~a
o0901058	KAL~b1	KAL~b1
o0901059	KAL~b1~v1	KAL~b1
o0901060	KAL~b2	KAL~b2
o0901062	KALAM~a	KALAM~a
o0901063	KALAM~b	KALAM~b
o0901064	KALAM~c	KALAM~c
o0901065	KALAM~d	KALAM~d
o0901066	KALAM~e	KALAM~e
o0901067	KALAM~f	KALAM~f
o0901071	KAR	KAR
o0901073	KAR₂~a	KAR2~a
o0901074	KAR₂~b	KAR2~b
o0901075	KASKAL	KASKAL
o0901076	KASKAL@g	KASKAL@g
o0901078	KAŠ~a	KASZ~a
o0901079	KAŠ~a~v1	KASZ~a
o0901080	KAŠ~b	KASZ~b
o0901088	KAŠ~b@t	KASZ~b@t
o0901081	KAŠ~b~v1	KASZ~b
o0901086	|KAŠ~b~v1×ŠE~a@t~v1|	|KASZ~bxSZE~a|
o0901082	KAŠ~c	KASZ~c
o0901083	KAŠ~d	KASZ~d
o0901089	KEŠ₂	KESZ2
o0901090	KI	KI
o0901091	KI@n	KI@n
o0901093	|KI@n×DUB~a|	|KI@nxDUB~a|
o0901094	KIB	KIB
o0901095	KIB@g	KIB@g
o0901097	KID~a	KID~a
o0901098	KID~b	KID~b
o0901099	KID~c	KID~c
o0901100	KID~d	KID~d
o0901101	KID~e	KID~e
o0901102	KIN	KIN
o0901104	KIN₂~a	KIN2~a
o0901106	KIN₂~c	KIN2~c
o0901107	KIN₂~d	KIN2~d
o0901108	KIN₂~e	KIN2~e
o0901109	KINGAL	KINGAL
o0901110	KINGAL~v1	KINGAL
o0901111	KIR₁₁	KIR11
o0901113	KISAL~a1	KISAL~a1
o0901114	KISAL~a2	KISAL~a2
o0901115	KISAL~b1	KISAL~b1
o0901116	KISAL~b2	KISAL~b2
o0901120	KISAL~b2@t	KISAL~b2@t
o0901117	KISAL~b3	KISAL~b3
o0901122	KISIM~a	KISIM~a
o0901123	KISIM~b	KISIM~b
o0901124	KISIM~b~v1	KISIM~b
o0901125	KISIM~b~v2	KISIM~b
o0901126	KISIM~b~v3	KISIM~b
o0901127	KISIM~c	KISIM~c
o0901128	KIŠ	KISZ
o0901129	KIŠ~v1	KISZ
o0901131	KIŠIK~a	KISZIK~a
o0901132	KIŠIK~b	KISZIK~b
o0901133	KITI	KITI
o0901134	KITI~v1	KITI
o0901136	KU~a	KU~a
o0901140	KU~a@t	KU~a@t
o0901137	KU~b1	KU~b1
o0901138	KU~b2	KU~b2
o0901142	KU₃~a	KU3~a
o0901143	KU₃~c	KU3~c
o0901145	KU₆~a	KU6~a
o0901149	|KU₆~a.1(N02)|	|KU6~a.1(N02)|
o0901151	|KU₆~a+GIŠ|	|KU6~a+GISZ|
o0901153	|KU₆~a+KU₆~a|	|KU6~a+KU6~a|
o0901155	KU₆~a@s	KU6~a@s
o0901146	KU₆~c	KU6~c
o0901147	KU₆~d	KU6~d
o0901156	KUN	KUN
o0901158	KUR~a	KUR~a
o0901164	|KUR~a.E₂~a|	|KUR~a.E2~a|
o0901167	|KUR~a.NUNUZ~a1|	|KUR~a.NUNUZ~a1|
o0901159	KUR~b	KUR~b
o0901165	|KUR~b.E₂~a|	|KUR~b.E2~a|
o0901160	KUR~c	KUR~c
o0901161	KUR~c~v1	KUR~c
o0901162	KUR~d	KUR~d
o0901169	KUR@g~a	KUR@g~a
o0901170	KUR@g~b	KUR@g~b
o0901172	KUŠU₂~a	KUSZU2~a
o0901173	KUŠU₂~b	KUSZU2~b
o0901174	KUŠU₂~c	KUSZU2~c
o0901175	KUŠU₂~d	KUSZU2~d
o0901176	KUŠU₂~e	KUSZU2~e
o0901177	KUŠU₂~f	KUSZU2~f
o0901179	LA~b	LA~b
o0901180	LA~c	LA~c
o0901181	LA~d	LA~d
o0901182	LA~e	LA~e
o0901184	LA₂	LA2
o0901186	LAGAB~a	LAGAB~a
o0901191	|LAGAB~a×BA|	|LAGAB~axBA|
o0901195	|LAGAB~a×BIR₃~b|	|LAGAB~axBIR3~b|
o0901197	|LAGAB~a×DU₆~a~v1|	|LAGAB~axDU6~b|
o0901205	|LAGAB~a×KAK~a|	|LAGAB~axKAK~a|
o0901207	|LAGAB~a×KU₆~a|	|LAGAB~axKU6~a|
o0901209	|LAGAB~a×(KU₆~a+KU₆~a)|	|LAGAB~ax(KU6~a+KU6~a)|
o0901213	|LAGAB~a×KUŠU₂~a@t|	|LAGAB~axKUSZU2~b|
o0901217	|LAGAB~a×LAGAB~a|	|LAGAB~axLAGAB~a|
o0901219	|LAGAB~a×ME~a|	|LAGAB~axME~a|
o0901229	|LAGAB~a×NUN~b|	|LAGAB~axNUN~b|
o0901231	|LAGAB~a×PA~a|	|LAGAB~axPA~a|
o0901234	|LAGAB~a×SI~v1|	|LAGAB~axSI|
o0901237	|LAGAB~a×SIG₇~v1|	|LAGAB~axSIG7|
o0901239	|LAGAB~a×SU~a|	|LAGAB~axSU~a|
o0901243	|LAGAB~a×ŠA|	|LAGAB~axSZA|
o0901245	|LAGAB~a×ŠITA~a1|	|LAGAB~axSZITA~a1|
o0901248	|LAGAB~a×TI|	|LAGAB~axTI|
o0901250	|LAGAB~a×U₄|	|LAGAB~axU4|
o0901253	|LAGAB~a×UB|	|LAGAB~axUB|
o0901255	|LAGAB~a×X|	|LAGAB~axX|
o0901258	|LAGAB~a×ZATU753|	|LAGAB~axZATU753|
o0901223	|LAGAB~a×2(N14)|	|LAGAB~ax2(N14)|
o0901187	LAGAB~b	LAGAB~b
o0901193	|LAGAB~b×BANŠUR~a|	|LAGAB~bxBANSZUR~a|
o0901199	|LAGAB~b×GAʾAR~a1|	|LAGAB~bxGA’AR~a1|
o0901201	|LAGAB~b×HI|	|LAGAB~bxHI|
o0901211	|LAGAB~b×KUR~e|	|LAGAB~bxKUR~e|
o0901232	|LAGAB~b×PA~a|	|LAGAB~bxPA~a|
o0901235	|LAGAB~b×SI|	|LAGAB~bxSI|
o0901241	|LAGAB~b×SUH₃|	|LAGAB~bxSUH3|
o0901246	|LAGAB~b×ŠITA~c|	|LAGAB~bxSZITA~c|
o0901251	|LAGAB~b×U₄|	|LAGAB~bxU4|
o0901256	|LAGAB~b×X|	|LAGAB~bxX|
o0901221	|LAGAB~b×1(N01)|	|LAGAB~bx1(N01)|
o0901260	|LAGAB~b&LAGAB~b|	|LAGAB~bxLAGAB~b|
o0901262	LAGAR~a	LAGAR~a
o0901267	LAGAR~a@r	LAGAR~a@r
o0901263	LAGAR~b1	LAGAR~b1
o0901264	LAGAR~b2	LAGAR~b2
o0901265	LAGAR~c	LAGAR~c
o0901268	LAHTAN₂	LAHTAN2
o0901295	LAK025	LAK025
o0901296	LAK050	LAK050
o0901297	LAK172	LAK172
o0901298	LAK251	LAK251
o0901299	LAK350	LAK350
o0901300	LAK777	LAK777
o0901270	LAL₂~a	LAL2~a
o0901273	|LAL₂~a×EZEN~a~v1|	|LAL2~axEZEN~a|
o0901277	|LAL₂~a×NIM~b2|	|LAL2~axNIM~b2|
o0901271	LAL₂~b	LAL2~b
o0901279	LAL₃~a	LAL3~a
o0901280	LAL₃~b	LAL3~b
o0901281	LAL₃~c	LAL3~c
o0901283	LAM~a	LAM~a
o0901284	LAM~b	LAM~b
o0901290	LAM~b@r	LAM~b@r
o0901292	LAM~b@s	LAM~b@s
o0901294	LAM~b@t	LAM~b@t
o0901285	LAM~b~v1	LAM~b
o0901286	LAM~b~v2	LAM~b
o0901287	LAM~c	LAM~c
o0901301	LI	LI
o0901302	LI~v1	LI
o0901303	LIŠ	LISZ
o0901304	LU₂	LU2
o0901308	|LU₂×GEŠTU~c3|	|LU2xGESZTU~c3|
o0901309	LU₂@t	LU2@t
o0901305	LU₂~v1	LU2
o0901306	LU₂~v2	LU2
o0901310	LUGAL	LUGAL
o0901311	LUGAL~v1	LUGAL
o0901312	LUM	LUM
o0901313	MA	MA
o0901316	|MA×MA|	|MAxMA|
o0901318	|MA×1(N58)|	|MAx1(N58)|
o0901314	MA~v1	MA
o0901315	|MA~v1×A|	|MAxA|
o0901319	|MA~v1×X|	|MAxX|
o0901317	|MA~v1×2(N57)|	|MAx2(N57)|
o0901320	MA₂	MA2
o0901322	MAGUR~a	MAGUR~a
o0901323	MAGUR~b	MAGUR~b
o0901325	MAH~a	MAH~a
o0901328	|MAH~a×AB₂|	|MAH~axAB2|
o0901330	|MAH~a×GUKKAL~a|	|MAH~axGUKKAL~a|
o0901332	|MAH~a×KU₆~a|	|MAH~axKU6~a|
o0901335	|MAH~a×MAŠ|	|MAH~axMASZ|
o0901338	|MAH~a×NA~a|	|MAH~axNA~a|
o0901343	|MAH~a×(SILA₃~a×UMBIN~a)|	|MAH~ax(SILA3~axUMBIN~a)|
o0901345	|MAH~a×TUG₂~a|	|MAH~axTUG2~a|
o0901349	|MAH~a×UD₅~a~v1|	|MAH~axUD5~a|
o0901351	|MAH~a×UDU~a|	|MAH~axUDU~a|
o0901353	|MAH~a×UR~a|	|MAH~axUR~a|
o0901355	|MAH~a×UTUA~a|	|MAH~axUTUA~a|
o0901357	|MAH~a×X|	|MAH~axX|
o0901359	|MAH~a×ZATU659|	|MAH~axZATU659|
o0901326	MAH~b	MAH~b
o0901333	|MAH~b×KU₆~a|	|MAH~bxKU6~a|
o0901336	|MAH~b×MAŠ|	|MAH~bxMASZ|
o0901339	|MAH~b×NA~a|	|MAH~bxNA~a|
o0901341	|MAH~b×SAL|	|MAH~bxSAL|
o0901361	MAR~a	MAR~a
o0901375	MAR~a@t	MAR~a@t
o0901362	MAR~a~v1	MAR~a
o0901363	MAR~b	MAR~b
o0901367	|MAR~b×(LAGAB~b.ŠE₃~v1)|	|MAR~bx(LAGAB~b.SZE3)|
o0901369	|MAR~b×ŠE~a|	|MAR~bxSZE~a|
o0901371	|MAR~b×X|	|MAR~bxX|
o0901376	MAŠ	MASZ
o0901377	MAŠ₂	MASZ2
o0901378	MAŠ₂@g	MASZ2@g
o0901380	ME~a	ME~a
o0901381	ME~b	ME~b
o0901382	ME₃	ME3
o0901384	MEN~a	MEN~a
o0901385	MEN~a~v1	MEN~a
o0901386	MEN~b	MEN~b
o0901387	MES	MES
o0901388	MES~v1	MES
o0901390	MIR~a	MIR~a
o0901391	MIR~b	MIR~b
o0901392	MU	MU
o0901393	MUD	MUD
o0901394	MUD~v1	MUD
o0901396	MUD₃~a	MUD3~a
o0901401	MUD₃~a@g	MUD3~a@g
o0901403	|MUD₃~a@g×GU|	|MUD3~a@gxGU|
o0901397	MUD₃~b	MUD3~b
o0901398	MUD₃~c	MUD3~c
o0901399	MUD₃~d	MUD3~d
o0901404	MUL	MUL
o0901407	MUN~a1	MUN~a1
o0901408	MUN~a2	MUN~a2
o0901409	MUN~a3	MUN~a3
o0901410	MUN~a4	MUN~a4
o0901411	MUN~b	MUN~b
o0901413	MUNŠUB~a	MUNSZUB~a
o0901414	MUNŠUB~b	MUNSZUB~b
o0901415	MUNU₃	MUNU3
o0901416	MURUB₂	MURUB2
o0901417	MUŠ	MUSZ
o0901419	MUŠ₃~a	MUSZ3~a
o0901424	MUŠ₃~a@g	MUSZ3~a@g
o0901425	MUŠ₃~a@g~v1	MUSZ3~a@g
o0901420	MUŠ₃~a~v1	MUSZ3~a
o0901421	MUŠ₃~a~v2	MUSZ3~a
o0901422	MUŠ₃~b	MUSZ3~b
o0901426	MUŠEN	MUSZEN
o0901429	|MUŠEN.UR₃~b2|	|MUSZEN.UR3~b2|
o0901434	|MUŠEN×PAP~a|	|MUSZENxPAP~a|
o0901435	|MUŠEN×X|	|MUSZENxX|
o0901430	|MUŠEN×1(N57)|	|MUSZENx1(N57)|
o0901431	|MUŠEN×2(N57)|	|MUSZENx2(N57)|
o0901432	|MUŠEN×3(N57)|	|MUSZENx3(N57)|
o0901437	NA~a	NA~a
o0901438	NA~b	NA~b
o0901439	NA~c	NA~c
o0901440	NA~d	NA~d
o0901442	NA₂~a	NA2~a
o0901443	NA₂~a~v1	NA2~a
o0901444	NA₂~b1	NA2~b1
o0901445	NA₂~b2	NA2~b2
o0901448	NAB	NAB
o0901449	NAB~v1	NAB
o0901450	NAB~v2	NAB
o0901452	NAGA~a	NAGA~a
o0901455	|NAGA~a×TAK₄~a|	|NAGA~axTAK4~a|
o0901453	NAGA~b	NAGA~b
o0901457	NAGAR~a	NAGAR~a
o0901458	NAGAR~a~v1	NAGAR~a
o0901459	NAGAR~a~v2	NAGAR~a
o0901460	NAGAR~a~v3	NAGAR~a
o0901461	NAGAR~b	NAGAR~b
o0901462	NAGAR~b~v1	NAGAR~b
o0901464	NAM~a	NAM~a
o0901465	NAM~b	NAM~b
o0901466	NAM~c	NAM~c
o0901467	NAM~d	NAM~d
o0901468	NAM₂	NAM2
o0901469	|NAM₂×1(N01)|	|NAM2x1(N01)|
o0901470	NAM₂@g	NAM2@g
o0901471	NAM₂@t	NAM2@t
o0901472	NAMEŠDA	NAMESZDA
o0901473	NAMEŠDA~v1	NAMESZDA
o0901475	NANNA~a	NANNA~a
o0901476	NANNA~a~v1	NANNA~a
o0901477	NANNA~b	NANNA~b
o0901479	NANŠE~a	NANSZE~a
o0901480	NANŠE~b	NANSZE~b
o0901481	NAR	NAR
o0901483	NE~a	NE~a
o0901484	NE~a~v1	NE~a
o0901485	NE~a~v2	NE~a
o0901486	NE~b	NE~b
o0901487	NE~c	NE~c
o0901488	NE~d	NE~d
o0901491	NERGAL~v	NERGAL~x
o0901493	NESAG₂~a	NESAG2~a
o0901494	NESAG₂~a1	NESAG2~a
o0901496	NESAG₂~b	NESAG2~b
o0901499	NESAG₂~b@t	NESAG2~b@t
o0901497	NESAG₂~b~v1	NESAG2~b
o0901501	NI~a	NI~a
o0901504	|NI~a.RU~v1|	|NI~a.RU|
o0901506	|NI~a×1(N57)|	|NI~ax1(N57)|
o0901512	NI~a@g	NI~a@g
o0901502	NI~b	NI~b
o0901510	|NI~b×X|	|NI~bxX|
o0901508	|NI~b×4(N57)|	|NI~bx4(N57)|
o0901513	NI₂	NI2
o0901514	NIGIN	NIGIN
o0901516	NIM~a	NIM~a
o0901517	NIM~b1	NIM~b1
o0901518	NIM~b2	NIM~b2
o0901519	NIM~b3	NIM~b3
o0901521	NIMGIR	NIMGIR
o0901522	NIMGIR~v1	NIMGIR
o0901524	NIN	NIN
o0901525	NINDA₂	NINDA2
o0901527	|NINDA₂×AN|	|NINDA2xAN|
o0901528	|NINDA₂×(AN.HI)|	|NINDA2x(AN.HI)|
o0901535	|NINDA₂×(AN.ME~a)|	|NINDA2x(AN.ME~a)|
o0901537	|NINDA₂×(AN.X)|	|NINDA2x(AN.X)|
o0901538	|NINDA₂×BA|	|NINDA2xBA|
o0901540	|NINDA₂×EZEN~b|	|NINDA2xEZEN~b|
o0901542	|NINDA₂×GAʾAR~a1|	|NINDA2xGA’AR~a1|
o0901543	|NINDA₂×GAR|	|NINDA2xGAR|
o0901544	|NINDA₂×GIŠ|	|NINDA2xGISZ|
o0901546	|NINDA₂×(GIŠ.DAR~a)|	|NINDA2x(GISZ.DAR~a)|
o0901547	|NINDA₂×GU₄|	|NINDA2xGU4|
o0901534	|NINDA₂×GUDU₄|~v2	|NINDA2xGUDU4|
o0901536	|NINDA₂×GUDU₄|~v3	|NINDA2xGUDU4|
o0901548	|NINDA₂×HI|	|NINDA2xHI|
o0901533	|NINDA₂×(HI.AN.ME~a)|	|NINDA2x(HI.AN.ME~a)|
o0901530	|NINDA₂×(HI.ME~a)|	|NINDA2x(HI+ME~a)|
o0901549	|NINDA₂×(HI.X)|	|NINDA2x(HI.X)|
o0901532	|NINDA₂×(HI~a1.AN.ME~a)|	|NINDA2xGUDU4|
o0901531	|NINDA₂×(HI~a1.ME~a)|	|NINDA2xGUDU4|
o0901553	|NINDA₂×KAŠ~b|	|NINDA2xKASZ~b|
o0901556	|NINDA₂×MAR~b|	|NINDA2xMAR~b|
o0901562	|NINDA₂×NE~a~v1|	|NINDA2xNE~a|
o0901566	|NINDA₂×ŠIM~a~v2|	|NINDA2xSZIM~a|
o0901567	|NINDA₂×U₄|	|NINDA2xU4|
o0901568	|NINDA₂×(U₄.X)|	|NINDA2x(U4.X)|
o0901570	|NINDA₂×(UDU~a×TAR~a)|	|NINDA2x((UDU~axTAR)~a)|
o0901571	|NINDA₂×(UDU~a×TAR~b)|	|NINDA2x((UDU~axTAR)~b)|
o0901572	|NINDA₂×X|	|NINDA2xX|
o0901574	|NINDA₂×(X.MAŠ)|	|NINDA2x(X.MASZ)|
o0901575	|NINDA₂×(ZATU659×1(N01))|	|NINDA2x(ZATU659x1(N01))|
o0901557	|NINDA₂×1(N01)|	|NINDA2x1(N01)|
o0901558	|NINDA₂×2(N01)|	|NINDA2x2(N01)|
o0901559	|NINDA₂×1(N06)|	|NINDA2x1(N06)|
o0901551	|NINDA₂×(1(N06).HI@g~a)|	|NINDA2x(HI@g~a.1(N06))|
o0901560	|NINDA₂×1(N08)|	|NINDA2x1(N08)|
o0901526	NINDA₂~v1	NINDA2
o0901577	NINKUM	NINKUM
o0901578	NINLIL	NINLIL
o0901580	NIR~a	NIR~a
o0901583	|NIR~a×AN|	|NIR~axAN|
o0901581	NIR~b	NIR~b
o0901584	NU	NU
o0901585	NU@g	NU@g
o0901586	NU₁₁	NU11
o0901587	|NU₁₁&NU₁₁|	|NU11&NU11|
o0901588	NU₁₁@t	NU11@t
o0901589	NUMUN	NUMUN
o0901590	NUMUN₂	NUMUN2
o0901592	NUN~a	NUN~a
o0901603	|NUN~a+A|	|NUN~a+A|
o0901606	|NUN~a+EN~a~v2|	|NUN~a+EN~a|
o0901607	|NUN~a+EN~b~v1|	|NUN~a+EN~b|
o0901608	|NUN~a+EN~d|	|NUN~a+EN~d|
o0901611	|NUN~a+NAM₂|	|NUN~a+NAM2|
o0901593	NUN~b	NUN~b
o0901609	|NUN~b+EN~a|	|NUN~b+EN~a|
o0901594	NUN~c	NUN~c
o0901595	NUN~c~v1	NUN~c
o0901596	NUN~c~v2	NUN~c
o0901597	NUN~c~v3	NUN~c
o0901598	NUN~d	NUN~d
o0901613	NUNUZ~a0	NUNUZ~a0
o0901614	NUNUZ~a1	NUNUZ~a1
o0901623	NUNUZ~a1@t	NUNUZ~a1@t
o0901615	NUNUZ~a2	NUNUZ~a2
o0901616	NUNUZ~b1	NUNUZ~b1
o0901617	NUNUZ~b2	NUNUZ~b2
o0901618	NUNUZ~c	NUNUZ~c
o0901619	NUNUZ~c~v1	NUNUZ~c
o0901620	NUNUZ~c~v2	NUNUZ~c
o0901621	NUNUZ~c~v3	NUNUZ~c
o0901625	PA~a	PA~a
o0901626	PA~a~v1	PA~a
o0901627	PA~a~v2	PA~a
o0901628	PA~b	PA~b
o0901634	PA₃	PA3
o0901636	PAD~a	PAD~a
o0901637	PAD~b	PAD~b
o0901639	PAP~a	PAP~a
o0901643	PAP~a@t	PAP~a@t
o0901640	PAP~b	PAP~b
o0901641	PAP~b~v1	PAP~b
o0901645	PIRIG~a1	PIRIG~a1
o0901646	PIRIG~a2	PIRIG~a2
o0901647	PIRIG~a3	PIRIG~a3
o0901648	PIRIG~b1	PIRIG~b1
o0901653	|PIRIG~b1×UR₂|	|PIRIG~b1xUR2|
o0901649	PIRIG~b2	PIRIG~b2
o0901656	PU₂	PU2
o0901657	RA	RA
o0901659	RAD~a	RAD~a
o0901662	RAD~a@g	RAD~a@g
o0901664	RAD~a@t	RAD~a@t
o0901660	RAD~b	RAD~b
o0901665	RI	RI
o0901666	RI~x	RI~x
o0901668	RI₈~a	RI8~a
o0901669	RI₈~b	RI8~b
o0901670	RU	RU
o0901672	RU@t	RU@t
o0901671	RU~v1	RU
o0901674	SA~a	SA~a
o0901675	SA~c	SA~c
o0901676	SA~c~v1	SA~c
o0901677	SAG	SAG
o0901681	|SAG×GEŠTU~a|	|SAGxGESZTU~a|
o0901691	|SAG×SAR~a|	|SAGxSAR~a|
o0901694	SAG@g	SAG@g
o0901695	SAG@n	SAG@n
o0901682	|SAG@n×GEŠTU~b|	|SAGxGESZTU~b|
o0901678	SAG~v1	SAG
o0901684	|SAG~v1×GEŠTU~c|	|SAGxGESZTU~c|
o0901686	|SAG~v1×LAM~c|	|SAGxLAM~c|
o0901687	|SAG~v1×MA~v1|	|SAGxMA|
o0901688	|SAG~v1×1(N14)|	|SAGx1(N14)|
o0901679	SAG~v2	SAG
o0901683	|SAG~v2×GEŠTU~b|	|SAGxGESZTU~b|
o0901696	SAGŠU	SAGSZU
o0901697	SAL	SAL
o0901699	|SAL.KUR~a|	|SAL.KUR~a|
o0901701	|SAL.LAM~b|	|SAL.LAM~b|
o0901703	|SAL.ŠU₂~b|	|SAL.SZU2|
o0901704	|SAL×1(N58)|	|SALx1(N58)|
o0901709	SANGA~a	SANGA~a
o0901710	SANGA~a~v1	SANGA~a
o0901711	SANGA~a~v2	SANGA~a
